cod;nome;período;valor
1076;BRA;2010;27.8
1076;BRA;2011;27.45
1076;BRA;2012;29.41
1076;BRA;2013;28.55
1076;BRA;2014;29.82
1076;BRA;2015;28.89
1076;BRA;2016;30.33
1076;BRA;2017;31.59
1076;BRA;2018;27.8
1076;BRA;2019;21.65
1076;BRA;2020;23.54
1076;BRA;2021;22.42
1076;BRA;2022;21.67
